"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
4,30674088,"v_mfma_f32_16x16x16_bf16 a[76:79], v[68:69], v[6:7], a[76:79]",1008,10116,6084,0,""
4,30674096,"ds_read_b64 v[38:39], v242 offset:8640",1008,6012,1980,0,""
4,30674104,"v_mfma_f32_16x16x16_bf16 a[80:83], v[68:69], v[8:9], a[80:83]",1008,10116,6084,0,""
4,30674112,"ds_read_b64 v[40:41], v242 offset:16960",1008,6012,1980,0,""
4,30674120,"v_mfma_f32_16x16x16_bf16 a[84:87], v[68:69], v[10:11], a[84:87]",1008,10116,6084,0,""
4,30674128,"ds_read_b64 v[42:43], v242 offset:17088",1008,6012,1980,0,""
4,30674136,"v_mfma_f32_16x16x16_bf16 a[88:91], v[68:69], v[12:13], a[88:91]",1008,10116,6084,0,""
4,30674144,"ds_read_b64 v[44:45], v242 offset:25408",1008,6012,1980,0,""
4,30674152,"v_mfma_f32_16x16x16_bf16 a[92:95], v[68:69], v[14:15], a[92:95]",1008,10116,6084,0,""
4,30674160,"ds_read_b64 v[46:47], v242 offset:25536",1008,6012,1980,0,""
4,30674168,"v_mfma_f32_16x16x16_bf16 a[124:127], v[70:71], v[14:15], a[124:127]",1008,10116,6084,0,""
4,30674176,"ds_read_b64 v[94:95], v243 offset:4416",1008,6012,1980,0,""
4,30674184,"v_mfma_f32_16x16x16_bf16 a[120:123], v[70:71], v[12:13], a[120:123]",1008,10116,6084,0,""
4,30674192,"ds_read_b64 v[96:97], v243 offset:8768",1008,6012,1980,0,""
4,30674200,"v_mfma_f32_16x16x16_bf16 a[116:119], v[70:71], v[10:11], a[116:119]",1008,10116,6084,0,""
4,30674208,"ds_read_b64 v[98:99], v243 offset:13120",1008,6012,1980,0,""
4,30674216,"v_mfma_f32_16x16x16_bf16 a[112:115], v[70:71], v[8:9], a[112:115]",1008,10116,6084,0,""
4,30674224,"ds_read_b64 v[100:101], v243 offset:17472",1008,6012,1980,0,""
4,30674232,"v_mfma_f32_16x16x16_bf16 a[108:111], v[70:71], v[6:7], a[108:111]",1008,10116,6084,0,""
4,30674240,"ds_read_b64 v[102:103], v243 offset:21824",1008,6012,1980,0,""
4,30674248,"v_mfma_f32_16x16x16_bf16 a[104:107], v[70:71], v[4:5], a[104:107]",1008,10116,6084,0,""
4,30674256,"ds_read_b64 v[104:105], v243 offset:26176",1008,6012,1980,0,""
4,30674264,"v_mfma_f32_16x16x16_bf16 a[100:103], v[70:71], v[2:3], a[100:103]",1008,10116,6084,0,""
4,30674272,"ds_read_b64 v[48:49], v242 offset:96",1008,6012,1980,0,""
4,30674280,"v_mfma_f32_16x16x16_bf16 a[96:99], v[70:71], v[0:1], a[96:99]",1008,10116,6084,0,""
4,30674288,"ds_read_b64 v[106:107], v243 offset:96",1008,6012,1980,0,""
4,30674296,"v_mfma_f32_16x16x16_bf16 a[128:131], v[72:73], v[0:1], a[128:131]",1008,10116,6084,0,""
4,30674304,"ds_read_b64 v[50:51], v242 offset:224",1008,6012,1980,0,""
4,30674312,"v_mfma_f32_16x16x16_bf16 a[132:135], v[72:73], v[2:3], a[132:135]",1008,10116,6084,0,""
4,30674320,"ds_read_b64 v[52:53], v242 offset:8544",1008,6012,1980,0,""
4,30674328,"v_mfma_f32_16x16x16_bf16 a[136:139], v[72:73], v[4:5], a[136:139]",1008,10116,6084,0,""
4,30674336,"ds_read_b64 v[54:55], v242 offset:8672",1008,6012,1980,0,""
4,30674344,"v_mfma_f32_16x16x16_bf16 a[140:143], v[72:73], v[6:7], a[140:143]",1008,10116,6084,0,""
4,30674352,"ds_read_b64 v[56:57], v242 offset:16992",1008,6012,1980,0,""
4,30674360,"v_mfma_f32_16x16x16_bf16 a[144:147], v[72:73], v[8:9], a[144:147]",1008,10116,6084,0,""
4,30674368,"ds_read_b64 v[58:59], v242 offset:17120",1008,6012,1980,0,""
4,30674376,"v_mfma_f32_16x16x16_bf16 a[148:151], v[72:73], v[10:11], a[148:151]",1008,10116,6084,0,""
4,30674384,"ds_read_b64 v[60:61], v242 offset:25440",1008,6012,1980,0,""
4,30674392,"v_mfma_f32_16x16x16_bf16 a[152:155], v[72:73], v[12:13], a[152:155]",1008,10116,6084,0,""
4,30674400,"ds_read_b64 v[62:63], v242 offset:25568",1008,6012,1980,0,""
4,30674408,"v_mfma_f32_16x16x16_bf16 a[156:159], v[72:73], v[14:15], a[156:159]",1008,10116,6084,0,""
4,30674416,"ds_read_b64 v[108:109], v243 offset:4448",1008,6012,1980,0,""
4,30674424,"v_mfma_f32_16x16x16_bf16 a[188:191], v[74:75], v[14:15], a[188:191]",1008,10116,6084,0,""
4,30674432,"ds_read_b64 v[110:111], v243 offset:8800",1008,6012,1980,0,""
4,30674440,"v_mfma_f32_16x16x16_bf16 a[184:187], v[74:75], v[12:13], a[184:187]",1008,10116,6084,0,""
4,30674448,"ds_read_b64 v[112:113], v243 offset:13152",1008,6012,1980,0,""
4,30674456,"v_mfma_f32_16x16x16_bf16 a[180:183], v[74:75], v[10:11], a[180:183]",1008,10116,6084,0,""
4,30674464,"ds_read_b64 v[114:115], v243 offset:17504",1008,6012,1980,0,""
4,30674472,"v_mfma_f32_16x16x16_bf16 a[176:179], v[74:75], v[8:9], a[176:179]",1008,10116,6084,0,""
4,30674480,"ds_read_b64 v[116:117], v243 offset:21856",1008,6012,1980,0,""
4,30674488,"v_mfma_f32_16x16x16_bf16 a[172:175], v[74:75], v[6:7], a[172:175]",1008,10116,6084,0,""
4,30674496,"ds_read_b64 v[118:119], v243 offset:26208",1008,6012,1980,0,""
